source,target,correlation,abs_correlation,pairwise_n,p_value,sign
T12,E09,-0.14637118451821454,0.14637118451821454,91,0.16621797600664412,negative
E10,E12,0.1462520017064997,0.1462520017064997,91,0.16656697066695203,positive
T06,V15,0.14602392064956846,0.14602392064956846,91,0.1672363536736608,positive
E01,S10,-0.1458496780469234,0.1458496780469234,91,0.16774906622439073,negative
T02,S04,-0.14542348341800457,0.14542348341800457,91,0.16900804206338121,negative
T06,S09,-0.14534795789657984,0.14534795789657984,91,0.16923186880115731,negative
S07,V12,0.14528610816932108,0.14528610816932108,91,0.1694153287999547,positive
E08,E14,0.14501162868928785,0.14501162868928785,91,0.1702312650901351,positive
S09,V09,0.14479627196062228,0.14479627196062228,91,0.17087347302317518,positive
V04,V11,0.14457596202556736,0.14457596202556736,91,0.17153229574068807,positive
S09,V08,-0.14451626784439053,0.14451626784439053,91,0.17171112877793568,negative
V04,V14,0.14437686952428733,0.14437686952428733,91,0.17212927520054117,positive
T08,V12,-0.14425715134810996,0.14425715134810996,91,0.1724889854004346,negative
T06,V02,0.14377650797332112,0.14377650797332112,91,0.17393871075657608,positive
T09,S05,-0.1437133862666001,0.1437133862666001,91,0.17412976228066215,negative
T02,V04,-0.14349318651316192,0.14349318651316192,91,0.17479745075003372,negative
T02,S05,-0.1433936422624445,0.1433936422624445,91,0.175099904082407,negative
E06,V10,-0.14338620349135206,0.14338620349135206,91,0.17512252130754488,negative
T15,S14,0.14326221931242958,0.14326221931242958,91,0.17549980480872934,positive
E02,V03,-0.14276668957052885,0.14276668957052885,91,0.1770136526893722,negative
T03,V01,-0.14274676924281302,0.14274676924281302,91,0.17707470879117843,negative
T14,E06,0.1427120715484783,0.1427120715484783,91,0.17718109456634087,positive
T04,T06,0.14249930313493925,0.14249930313493925,91,0.17783448232776927,positive
E14,S07,0.1422881615051133,0.1422881615051133,91,0.17848461585162734,positive
E13,V12,-0.1421078831665904,0.1421078831665904,91,0.17904109153903092,negative
S02,V10,0.1420003584259364,0.1420003584259364,91,0.17937359771327274,positive
E02,S05,0.141896224901708,0.141896224901708,91,0.1796960469611215,positive
E03,S04,-0.1418462032237268,0.1418462032237268,91,0.17985108948201511,negative
E09,E10,0.14158840957082694,0.14158840957082694,91,0.18065167243911331,positive
E02,S08,0.1413791867880864,0.1413791867880864,91,0.18130332775174832,positive
S01,S13,-0.14113383386276432,0.14113383386276432,91,0.18206969870582793,negative
T07,T11,0.14107639255581014,0.14107639255581014,91,0.18224945995089245,positive
T02,E14,0.14097351389400797,0.14097351389400797,91,0.18257173968208426,positive
T13,S05,0.14086010387035616,0.14086010387035616,91,0.18292749125422458,positive
T03,S14,-0.14085679356354272,0.14085679356354272,91,0.18293788281009182,negative
S01,S15,0.14061659902854395,0.14061659902854395,91,0.18369303818988308,positive
E02,V04,0.1405143648126778,0.1405143648126778,91,0.1840151433361982,positive
E05,E10,0.14030315617590783,0.14030315617590783,91,0.18468189137960284,positive
S08,V02,-0.13987829754943237,0.13987829754943237,91,0.18602841442473197,negative
T06,T12,0.13932604851940936,0.13932604851940936,91,0.1877893254435404,positive
E12,V03,0.1391814775238607,0.1391814775238607,91,0.18825229789715411,positive
T05,S04,-0.13906024149984364,0.13906024149984364,91,0.18864118040251784,negative
T05,E08,-0.13882428841631328,0.13882428841631328,91,0.18939970399356965,negative
E01,V13,-0.1385797923877687,0.1385797923877687,91,0.19018801943709912,negative
T10,V08,-0.13836675905725035,0.13836675905725035,91,0.19087682574433956,negative
T06,E10,0.13836197503535744,0.13836197503535744,91,0.19089231474446178,positive
T11,V10,0.1382239443754066,0.1382239443754066,91,0.19133960177391218,positive
T10,S07,-0.13809734486009778,0.13809734486009778,91,0.1917505123162996,negative
S06,V13,0.13799118984841122,0.13799118984841122,91,0.19209555657304522,positive
V03,V14,0.13794312016521224,0.13794312016521224,91,0.19225194890268543,positive
T11,E07,-0.13785797638959515,0.13785797638959515,91,0.1925291857564771,negative
T03,V12,-0.1378478154393794,0.1378478154393794,91,0.19256229013413084,negative
S08,V12,-0.13763798847454564,0.13763798847454564,91,0.1932468260144998,negative
S13,V05,-0.13761709063639896,0.13761709063639896,91,0.1933150988554582,negative
T09,S03,-0.1374548004819134,0.1374548004819134,91,0.19384589057226437,negative
